,recuerdo,tiempo,juego,subj,session_o
213,0,3,8,7,normal
214,0,3,0,7,normal
215,1,3,9,7,normal
216,0,4,1,7,normal
217,0,4,2,7,normal
218,0,4,22,7,normal
219,0,4,23,7,normal
220,0,4,3,7,normal
221,0,4,4,7,normal
222,1,4,5,7,normal
223,1,4,6,7,normal
224,0,4,7,7,normal
225,0,4,8,7,normal
226,0,4,0,7,normal
227,1,4,9,7,normal
228,1,1,1,8,normal
229,1,1,2,8,normal
230,0,1,22,8,normal
231,0,1,23,8,normal
232,1,1,3,8,normal
233,0,1,4,8,normal
234,1,1,5,8,normal
235,0,1,6,8,normal
236,1,1,7,8,normal
237,1,1,8,8,normal
238,0,1,0,8,normal
239,1,1,9,8,normal
240,1,2,1,8,normal
241,1,2,2,8,normal
242,0,2,22,8,normal
243,0,2,23,8,normal
244,0,2,3,8,normal
245,1,2,4,8,normal
246,1,2,5,8,normal
247,0,2,6,8,normal
248,1,2,7,8,normal
249,1,2,8,8,normal
250,0,2,0,8,normal
251,1,2,9,8,normal
252,0,1,1,9,normal
253,0,1,2,9,normal
254,0,1,22,9,normal
255,0,1,23,9,normal
256,0,1,3,9,normal
257,1,1,4,9,normal
258,1,1,5,9,normal
259,1,1,6,9,normal
260,1,1,7,9,normal
261,1,1,8,9,normal
262,0,1,0,9,normal
263,0,1,9,9,normal
264,0,2,1,9,normal
265,1,2,2,9,normal
266,0,2,22,9,normal
267,0,2,23,9,normal
268,0,2,3,9,normal
269,1,2,4,9,normal
270,1,2,5,9,normal
271,1,2,6,9,normal
272,1,2,7,9,normal
273,1,2,8,9,normal
274,0,2,0,9,normal
275,0,2,9,9,normal
276,0,3,1,9,normal
277,0,3,2,9,normal
278,0,3,22,9,normal
279,0,3,23,9,normal
280,0,3,3,9,normal
281,1,3,4,9,normal
282,1,3,5,9,normal
283,1,3,6,9,normal
284,1,3,7,9,normal
285,1,3,8,9,normal
286,0,3,0,9,normal
287,0,3,9,9,normal
288,0,1,1,10,normal
289,1,1,2,10,normal
290,0,1,22,10,normal
291,0,1,23,10,normal
292,0,1,3,10,normal
293,1,1,4,10,normal
294,1,1,5,10,normal
295,1,1,6,10,normal
296,1,1,7,10,normal
297,1,1,8,10,normal
298,0,1,0,10,normal
299,0,1,9,10,normal
300,0,2,1,10,normal
301,0,2,2,10,normal
302,0,2,22,10,normal
303,0,2,23,10,normal
304,0,2,3,10,normal
305,1,2,4,10,normal
306,1,2,5,10,normal
307,1,2,6,10,normal
308,1,2,7,10,normal
309,0,2,8,10,normal
310,0,2,0,10,normal
311,0,2,9,10,normal
312,0,1,1,11,normal
313,0,1,2,11,normal
314,0,1,22,11,normal
315,0,1,23,11,normal
316,1,1,3,11,normal
317,1,1,4,11,normal
318,1,1,5,11,normal
319,0,1,6,11,normal
320,0,1,7,11,normal
321,1,1,8,11,normal
322,0,1,0,11,normal
323,0,1,9,11,normal
324,0,2,1,11,normal
325,0,2,2,11,normal
326,0,2,22,11,normal
327,0,2,23,11,normal
328,0,2,3,11,normal
329,1,2,4,11,normal
330,0,2,5,11,normal
331,0,2,6,11,normal
332,0,2,7,11,normal
333,0,2,8,11,normal
334,1,2,0,11,normal
335,1,2,9,11,normal
336,0,3,1,11,normal
337,0,3,2,11,normal
338,0,3,22,11,normal
339,0,3,23,11,normal
340,0,3,3,11,normal
341,1,3,4,11,normal
342,0,3,5,11,normal
343,0,3,6,11,normal
344,0,3,7,11,normal
345,0,3,8,11,normal
346,1,3,0,11,normal
347,0,3,9,11,normal
348,0,4,1,11,normal
349,0,4,2,11,normal
350,0,4,22,11,normal
351,0,4,23,11,normal
352,1,4,3,11,normal
353,0,4,4,11,normal
354,0,4,5,11,normal
355,0,4,6,11,normal
356,0,4,7,11,normal
357,0,4,8,11,normal
358,0,4,0,11,normal
359,0,4,9,11,normal
360,1,1,1,12,normal
361,1,1,2,12,normal
362,0,1,22,12,normal
363,0,1,23,12,normal
364,1,1,3,12,normal
365,1,1,4,12,normal
366,1,1,5,12,normal
367,1,1,6,12,normal
368,1,1,7,12,normal
369,0,1,8,12,normal
370,0,1,0,12,normal
371,0,1,9,12,normal
372,1,2,1,12,normal
373,0,2,2,12,normal
374,0,2,22,12,normal
375,0,2,23,12,normal
376,0,2,3,12,normal
377,0,2,4,12,normal
378,1,2,5,12,normal
379,1,2,6,12,normal
380,1,2,7,12,normal
381,0,2,8,12,normal
382,0,2,0,12,normal
383,1,2,9,12,normal
384,0,1,1,13,normal
385,0,1,2,13,normal
386,0,1,22,13,normal
387,0,1,23,13,normal
388,0,1,3,13,normal
389,1,1,4,13,normal
390,1,1,5,13,normal
391,0,1,6,13,normal
392,0,1,7,13,normal
393,1,1,8,13,normal
394,1,1,0,13,normal
395,0,1,9,13,normal
396,0,3,1,13,normal
397,0,3,2,13,normal
398,0,3,22,13,normal
399,0,3,23,13,normal
400,0,3,3,13,normal
401,1,3,4,13,normal
402,1,3,5,13,normal
403,0,3,6,13,normal
404,0,3,7,13,normal
405,0,3,8,13,normal
406,0,3,0,13,normal
407,0,3,9,13,normal
408,0,4,1,13,normal
409,0,4,2,13,normal
410,0,4,22,13,normal
411,0,4,23,13,normal
412,1,4,3,13,normal
413,0,4,4,13,normal
414,0,4,5,13,normal
415,0,4,6,13,normal
416,0,4,7,13,normal
417,0,4,8,13,normal
418,0,4,0,13,normal
419,0,4,9,13,normal
420,0,1,1,14,normal
421,0,1,2,14,normal
422,0,1,22,14,normal
423,0,1,23,14,normal
424,1,1,3,14,normal
425,1,1,4,14,normal
426,1,1,5,14,normal
427,1,1,6,14,normal
428,0,1,7,14,normal
429,1,1,8,14,normal
430,0,1,0,14,normal
431,0,1,9,14,normal
432,0,2,1,14,normal
433,0,2,2,14,normal
434,0,2,22,14,normal
435,0,2,23,14,normal
436,1,2,3,14,normal
437,0,2,4,14,normal
438,1,2,5,14,normal
439,1,2,6,14,normal
440,0,2,7,14,normal
441,1,2,8,14,normal
442,0,2,0,14,normal
443,0,2,9,14,normal
444,0,3,1,14,normal
445,1,3,2,14,normal
446,0,3,22,14,normal
447,0,3,23,14,normal
448,1,3,3,14,normal
449,0,3,4,14,normal
450,1,3,5,14,normal
451,1,3,6,14,normal
452,0,3,7,14,normal
453,1,3,8,14,normal
454,0,3,0,14,normal
455,0,3,9,14,normal
456,0,4,1,14,normal
457,0,4,2,14,normal
458,0,4,22,14,normal
459,0,4,23,14,normal
460,1,4,3,14,normal
461,0,4,4,14,normal
462,1,4,5,14,normal
